attack,defense,metric
PGD (eps=0.06),"GaussianSmoothing (k=5, sigma=0.4)",0.0661
PGD (eps=0.06),"GaussianSmoothing (k=5, sigma=0.6)",0.1953
PGD (eps=0.06),"GaussianSmoothing (k=5, sigma=0.8)",0.3095
PGD (eps=0.06),JpegCompression (q=50),0.2439
PGD (eps=0.06),JpegCompression (q=70),0.1946
PGD (eps=0.06),JpegCompression (q=90),0.1090
PGD (eps=0.06),SpatialSmoothing (w=3),0.3293
PGD (eps=0.06),SpatialSmoothing (w=5),0.4090
PGD (eps=0.06),Total Variance Minimization (p=0.3),0.4208
PGD (eps=0.07),none,0.0063
PGD (eps=0.07),"GaussianSmoothing (k=3, sigma=0.2)",0.0063
PGD (eps=0.07),"GaussianSmoothing (k=3, sigma=0.4)",0.0083
PGD (eps=0.07),"GaussianSmoothing (k=3, sigma=0.6)",0.0460
PGD (eps=0.07),"GaussianSmoothing (k=3, sigma=0.8)",0.1205
PGD (eps=0.07),"GaussianSmoothing (k=5, sigma=0.2)",0.0063
PGD (eps=0.07),"GaussianSmoothing (k=5, sigma=0.4)",0.0083
PGD (eps=0.07),"GaussianSmoothing (k=5, sigma=0.6)",0.0480
PGD (eps=0.07),"GaussianSmoothing (k=5, sigma=0.8)",0.1491
PGD (eps=0.07),JpegCompression (q=50),0.1025
PGD (eps=0.07),JpegCompression (q=70),0.0639
PGD (eps=0.07),JpegCompression (q=90),0.0198
PGD (eps=0.07),SpatialSmoothing (w=3),0.1798
PGD (eps=0.07),SpatialSmoothing (w=5),0.3184
PGD (eps=0.07),Total Variance Minimization (p=0.3),0.3839
PGD (eps=0.08),none,0.0005
PGD (eps=0.08),"GaussianSmoothing (k=3, sigma=0.2)",0.0005
PGD (eps=0.08),"GaussianSmoothing (k=3, sigma=0.4)",0.0007
PGD (eps=0.08),"GaussianSmoothing (k=3, sigma=0.6)",0.0062
PGD (eps=0.08),"GaussianSmoothing (k=3, sigma=0.8)",0.0357
PGD (eps=0.08),"GaussianSmoothing (k=5, sigma=0.2)",0.0005
PGD (eps=0.08),"GaussianSmoothing (k=5, sigma=0.4)",0.0007
PGD (eps=0.08),"GaussianSmoothing (k=5, sigma=0.6)",0.0067
PGD (eps=0.08),"GaussianSmoothing (k=5, sigma=0.8)",0.0540
PGD (eps=0.08),JpegCompression (q=50),0.0336
PGD (eps=0.08),JpegCompression (q=70),0.0156
PGD (eps=0.08),JpegCompression (q=90),0.0025
PGD (eps=0.08),SpatialSmoothing (w=3),0.0816
PGD (eps=0.08),SpatialSmoothing (w=5),0.2309
PGD (eps=0.08),Total Variance Minimization (p=0.3),0.3475
PGD (eps=0.09),none,0.0000
PGD (eps=0.09),"GaussianSmoothing (k=3, sigma=0.2)",0.0000
PGD (eps=0.09),"GaussianSmoothing (k=3, sigma=0.4)",0.0000
PGD (eps=0.09),"GaussianSmoothing (k=3, sigma=0.6)",0.0006
PGD (eps=0.09),"GaussianSmoothing (k=3, sigma=0.8)",0.0085
PGD (eps=0.09),"GaussianSmoothing (k=5, sigma=0.2)",0.0000
PGD (eps=0.09),"GaussianSmoothing (k=5, sigma=0.4)",0.0000
PGD (eps=0.09),"GaussianSmoothing (k=5, sigma=0.6)",0.0007
PGD (eps=0.09),"GaussianSmoothing (k=5, sigma=0.8)",0.0158
PGD (eps=0.09),JpegCompression (q=50),0.0094
PGD (eps=0.09),JpegCompression (q=70),0.0032
PGD (eps=0.09),JpegCompression (q=90),0.0002
PGD (eps=0.09),SpatialSmoothing (w=3),0.0280
PGD (eps=0.09),SpatialSmoothing (w=5),0.1478
PGD (eps=0.09),Total Variance Minimization (p=0.3),0.3060
PGD (eps=0.1),none,0.0000
PGD (eps=0.1),"GaussianSmoothing (k=3, sigma=0.2)",0.0000
PGD (eps=0.1),"GaussianSmoothing (k=3, sigma=0.4)",0.0000
PGD (eps=0.1),"GaussianSmoothing (k=3, sigma=0.6)",0.0000
PGD (eps=0.1),"GaussianSmoothing (k=3, sigma=0.8)",0.0014
PGD (eps=0.1),"GaussianSmoothing (k=5, sigma=0.2)",0.0000
PGD (eps=0.1),"GaussianSmoothing (k=5, sigma=0.4)",0.0000
PGD (eps=0.1),"GaussianSmoothing (k=5, sigma=0.6)",0.0000
PGD (eps=0.1),"GaussianSmoothing (k=5, sigma=0.8)",0.0037
PGD (eps=0.1),JpegCompression (q=50),0.0021
PGD (eps=0.1),JpegCompression (q=70),0.0005
PGD (eps=0.1),JpegCompression (q=90),0.0000
PGD (eps=0.1),SpatialSmoothing (w=3),0.0086
PGD (eps=0.1),SpatialSmoothing (w=5),0.0901
PGD (eps=0.1),Total Variance Minimization (p=0.3),0.2688
none,"GaussianSmoothing (k=3, sigma=0.2)",0.9249
none,"GaussianSmoothing (k=3, sigma=0.4)",0.9252
none,"GaussianSmoothing (k=3, sigma=0.6)",0.8971
none,"GaussianSmoothing (k=3, sigma=0.8)",0.8599
none,"GaussianSmoothing (k=5, sigma=0.2)",0.9249
none,"GaussianSmoothing (k=5, sigma=0.4)",0.9252
none,"GaussianSmoothing (k=5, sigma=0.6)",0.8953
none,"GaussianSmoothing (k=5, sigma=0.8)",0.8382
none,JpegCompression (q=50),0.8917
none,JpegCompression (q=70),0.8857
none,JpegCompression (q=90),0.9206
none,SpatialSmoothing (w=3),0.8449
none,SpatialSmoothing (w=5),0.6756
none,Total Variance Minimization (p=0.3),0.5524
