attack,defense,metric
FGSM (eps=0.06),"GaussianSmoothing (k=3, sigma=0.8)",0.1362
FGSM (eps=0.06),"GaussianSmoothing (k=5, sigma=0.2)",0.1233
FGSM (eps=0.06),"GaussianSmoothing (k=5, sigma=0.4)",0.1160
FGSM (eps=0.06),"GaussianSmoothing (k=5, sigma=0.6)",0.1174
FGSM (eps=0.06),"GaussianSmoothing (k=5, sigma=0.8)",0.1373
FGSM (eps=0.06),JpegCompression (q=50),0.0884
FGSM (eps=0.06),JpegCompression (q=70),0.0760
FGSM (eps=0.06),JpegCompression (q=90),0.0778
FGSM (eps=0.06),SpatialSmoothing (w=3),0.1888
FGSM (eps=0.06),SpatialSmoothing (w=5),0.2592
FGSM (eps=0.06),Total Variance Minimization (p=0.3),0.2828
FGSM (eps=0.07),none,0.1681
FGSM (eps=0.07),"GaussianSmoothing (k=3, sigma=0.2)",0.1681
FGSM (eps=0.07),"GaussianSmoothing (k=3, sigma=0.4)",0.1584
FGSM (eps=0.07),"GaussianSmoothing (k=3, sigma=0.6)",0.1613
FGSM (eps=0.07),"GaussianSmoothing (k=3, sigma=0.8)",0.1850
FGSM (eps=0.07),"GaussianSmoothing (k=5, sigma=0.2)",0.1681
FGSM (eps=0.07),"GaussianSmoothing (k=5, sigma=0.4)",0.1584
FGSM (eps=0.07),"GaussianSmoothing (k=5, sigma=0.6)",0.1609
FGSM (eps=0.07),"GaussianSmoothing (k=5, sigma=0.8)",0.1846
FGSM (eps=0.07),JpegCompression (q=50),0.0988
FGSM (eps=0.07),JpegCompression (q=70),0.0876
FGSM (eps=0.07),JpegCompression (q=90),0.0942
FGSM (eps=0.07),SpatialSmoothing (w=3),0.2415
FGSM (eps=0.07),SpatialSmoothing (w=5),0.3055
FGSM (eps=0.07),Total Variance Minimization (p=0.3),0.2921
FGSM (eps=0.08),none,0.2146
FGSM (eps=0.08),"GaussianSmoothing (k=3, sigma=0.2)",0.2146
FGSM (eps=0.08),"GaussianSmoothing (k=3, sigma=0.4)",0.2039
FGSM (eps=0.08),"GaussianSmoothing (k=3, sigma=0.6)",0.2085
FGSM (eps=0.08),"GaussianSmoothing (k=3, sigma=0.8)",0.2362
FGSM (eps=0.08),"GaussianSmoothing (k=5, sigma=0.2)",0.2146
FGSM (eps=0.08),"GaussianSmoothing (k=5, sigma=0.4)",0.2039
FGSM (eps=0.08),"GaussianSmoothing (k=5, sigma=0.6)",0.2079
FGSM (eps=0.08),"GaussianSmoothing (k=5, sigma=0.8)",0.2352
FGSM (eps=0.08),JpegCompression (q=50),0.1171
FGSM (eps=0.08),JpegCompression (q=70),0.1094
FGSM (eps=0.08),JpegCompression (q=90),0.1228
FGSM (eps=0.08),SpatialSmoothing (w=3),0.2938
FGSM (eps=0.08),SpatialSmoothing (w=5),0.3534
FGSM (eps=0.08),Total Variance Minimization (p=0.3),0.3049
FGSM (eps=0.09),none,0.2568
FGSM (eps=0.09),"GaussianSmoothing (k=3, sigma=0.2)",0.2568
FGSM (eps=0.09),"GaussianSmoothing (k=3, sigma=0.4)",0.2475
FGSM (eps=0.09),"GaussianSmoothing (k=3, sigma=0.6)",0.2552
FGSM (eps=0.09),"GaussianSmoothing (k=3, sigma=0.8)",0.2837
FGSM (eps=0.09),"GaussianSmoothing (k=5, sigma=0.2)",0.2568
FGSM (eps=0.09),"GaussianSmoothing (k=5, sigma=0.4)",0.2475
FGSM (eps=0.09),"GaussianSmoothing (k=5, sigma=0.6)",0.2546
FGSM (eps=0.09),"GaussianSmoothing (k=5, sigma=0.8)",0.2827
FGSM (eps=0.09),JpegCompression (q=50),0.1327
FGSM (eps=0.09),JpegCompression (q=70),0.1273
FGSM (eps=0.09),JpegCompression (q=90),0.1462
FGSM (eps=0.09),SpatialSmoothing (w=3),0.3419
FGSM (eps=0.09),SpatialSmoothing (w=5),0.3983
FGSM (eps=0.09),Total Variance Minimization (p=0.3),0.3232
FGSM (eps=0.1),none,0.2907
FGSM (eps=0.1),"GaussianSmoothing (k=3, sigma=0.2)",0.2907
FGSM (eps=0.1),"GaussianSmoothing (k=3, sigma=0.4)",0.2847
FGSM (eps=0.1),"GaussianSmoothing (k=3, sigma=0.6)",0.2971
FGSM (eps=0.1),"GaussianSmoothing (k=3, sigma=0.8)",0.3241
FGSM (eps=0.1),"GaussianSmoothing (k=5, sigma=0.2)",0.2907
FGSM (eps=0.1),"GaussianSmoothing (k=5, sigma=0.4)",0.2847
FGSM (eps=0.1),"GaussianSmoothing (k=5, sigma=0.6)",0.2967
FGSM (eps=0.1),"GaussianSmoothing (k=5, sigma=0.8)",0.3237
FGSM (eps=0.1),JpegCompression (q=50),0.1575
FGSM (eps=0.1),JpegCompression (q=70),0.1579
FGSM (eps=0.1),JpegCompression (q=90),0.1823
FGSM (eps=0.1),SpatialSmoothing (w=3),0.3811
FGSM (eps=0.1),SpatialSmoothing (w=5),0.4388
FGSM (eps=0.1),Total Variance Minimization (p=0.3),0.3422
